theme,video_id,kargin_id,title,duplicate_of,strength,where,evidence,include
cards,NmY28R9g89E,068,Kargin Haghordum sketch 633 (Hayko Mko),,strong,text.summary_detailed_en,"e will come and go as he pleases, play cards, and go fishing whenever he wants",
cards,YhChvEsI1-Y,022,Kargin Haghordum - Jaga Juga (Hayko Mko),,strong,text.summary_en,Four men playing cards in a courtyard decide to invent a,y
cards,e_e7eL99pBU,073,Kargin Haghordum sketch 669 (Hayko Mko),,strong,text.summary_en,A group of men play a high-stakes card game in a living room until the host r,y
cards,iPCRAW_Jecc,389,Kargin Haghordum - Qyartush (Hayko Mko),,strong,text.summary_en,es the opportunity to escape to a card game with friends.,
cards,qjkWGYnwMbw,070,Kargin Haghordum sketch 635 (Hayko Mko),,strong,visual.key_props,"books, playing cards, red scarf",
cards,rh2-lZwbQ9s,233,Kargin Haghordum sketch 315 (Hayko Mko),,strong,text.summary_en,"ble their medical treatments on a card game, leading to an absurd medical che",y
cards,vDjc8pWoNnw,683,Kargin Haghordum sketch 263 (Hayko Mko),,strong,text.summary_detailed_en,"band Karo's name. As she lays out playing cards, Manushak describes the husband's",
cards,3UZOwmPovQ4,275,Kargin Haghordum sketch 228 (Hayko Mko),,weak,visual.visual_synopsis,hite marshrutkas plus men playing backgammon under willow trees; and finally a,
cards,4qxINXiM5J8,339,Kargin Haghordum sketch 506 (Hayko Mko),,weak,visual.visual_synopsis,"h, a music video and a blue title card. In the last minute the old man l",
cards,4vgmCuZn_Ok,244,Kargin Haghordum sketch 347 (Hayko Mko),,weak,text.title_en,Casino Luck and Bra Sizes,
cards,6038Y198Rxg,626,Kargin Haghordum sketch 548 (Hayko Mko),,weak,text.summary_en,"Two elderly men play backgammon and brag about their outings, lea",
cards,8t7hzpg0dlg,172,Kargin Haghordum sketch 216 (Hayko Mko),,weak,visual.key_props,"id card, police uniform, map of armenia",
cards,DDKIuEPoY5Y,300,Kargin Haghordum sketch 461 (Hayko Mko),,weak,text.summary_detailed_en,floral blouse about his nephew's gambling debts and how he used his auth,
cards,Ek4ZeurlKjw,106,Kargin Haghordum sketch 647 (Hayko Mko),,weak,text.summary_detailed_en,The sketch opens with a title card reading 'Orlean FRANCE 1432' agai,
cards,Fyc5VWnAMog,241,Kargin Haghordum - Brnabarum hetenq berum (Hayko Mko),,weak,visual.visual_synopsis,n animated apartment-block advert card and a white studio bumper. Segmen,
cards,GUYB2fDpe9Q,085,Kargin Haghordum sketch 657 (Hayko Mko),,weak,text.summary_detailed_en,"York City skyscrapers and a title card to set a high-stakes, internation",
cards,IvbvzjzEYmM,491,Kargin Haghordum sketch 119 (Hayko Mko),https://www.youtube.com/watch?v=fRoXRjGUAMI&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=198&t=0s,weak,text.summary_detailed_en,her near parked marshrutkas and a backgammon table. A driver named Lendrush re,
cards,JFAzFdOamDA,127,Kargin Haghordum sketch 682 (Hayko Mko),,weak,text.title_en,Casino and Boxing Stop,
cards,KcBfrqmfrAE,430,Kargin Haghordum - Afganistan (Hayko Mko),,weak,text.summary_detailed_en,"ng the day, identified by a title card as Afghanistan. A man, Mustafa, d",
cards,NUyAGOvCJFQ,101,Kargin Haghordum sketch 642 (Hayko Mko),,weak,visual.visual_synopsis,ish costume (a 1914 England title card opens the sketch) sit at a candle,
cards,OInkgOVGUy4,029,Kargin Haghordum sketch 336 (Hayko Mko),,weak,text.summary_en,"help of an assistant holding cue cards, only to be interrupted by a man",
cards,QLRXsgR_mCI,102,Kargin Haghordum sketch 643 (Hayko Mko),,weak,text.summary_detailed_en,"pends money on alcohol, women, or gambling. The beggar insists he has no",
cards,QMH1oz2EoVg,638,Kargin Haghordum sketch 581 (Hayko Mko),,weak,visual.key_props,"phone, lab coat, flat cap, title card",
cards,VFajwBRJxc4,328,Kargin Haghordum sketch 290 (Hayko Mko),,weak,text.summary_en,helped his client win at golf and gambling.,
cards,gX0BVfHJxe8,010,Kargin Haghordum sketch 298 (Hayko Mko),,weak,text.summary_detailed_en,dentifiable by a desk calendar or card and an Armenian flag on the desk.,
cards,iZWWe6T5hFI,455,Kargin Haghordum sketch 080 (Hayko Mko),,weak,visual.visual_synopsis,"ng bits between a recurring title card, while a colorfully dressed clown",
cards,keoWCJkrdqs,559,Kargin Haghordum sketch 192 (Hayko Mko),,weak,visual.key_props,"cognac glass, cigar, business card, gas station sign, towel turban",
